"Word","Part_of_Speech","Etymology","Definition","Examples_and_Notes","Source_Page"
"Chhakku","n.m.","","A small basket","","24"
"Chhakṇu","v.t. re.","","To eat","f. -í, pl. -é","24"
"Chhal","n.m.","","Fright, terror (from an evil spirit)","-chhiddar, n.m. A trick, pretension","24"
"Chhá'l","n.f.","","A wave","Nháṇe ri chhá'l. Bathing.","24"
"Chhálá","n.m.","","Ring (of finger)","Also chhallá","24"
"Chhaláká","n.m.","","A long wave","pl. -é","24"
"Chhaláňg","n.f.","","A skip, or jump","","24"
"Chhallá","n.m.","","A ring","Also chháp","24"
"Chhállí","n.f.","","Indian corn","Also chhallí","24"
"Chhalṇu or chhalwṇu","v.i. re.","","To be frightened or terrified by an evil spirit","","24"
"Chhálṇí","n.f.","","A sieve","-chháṇṇu, v.t. re. To wash, to clean; f. -í, pl. -é","24"
"Chhálú","n.m.","","A blister","","24"
"Chháṇṭú","adj.","","Selected, the best","alike in all genders and numbers","24"
"Chhamáhí","n.f.","","Half-yearly","-máňgṇu, v.i. re. To ask for grain at each harvest","24"
"Chhambar","n.m.","","A kind of plant; adj. Spotted","adj. m.; f. -í, pl. -é","24"
"Chhamchhamát","n.m.","","The tinkle of metal ornaments","","24"
"Chhádmó","n.m.","S. Chhadma","Deceit","","24"
"Chháḍṇu","v.t. re.","","To release, to leave","f. -í, pl. -é","24"
"Chháň","n.f.","","A leafy roof, a cattleshed","","24"
"Chháňḍe","n.m.","","Entertaining","-rákhṇu, v.t. re. To entertain. Chháňḍe kanié rákhúň 'What am I to entertain you with?'","24"
"Chhángá or -ú","adj.","","One who has six fingers or toes","m.; f. -í, pl. -é","24"
"Chháṇite","adv.","","By chance","","24"
"Chháṇ-ṇu","v.t. re.","","To sift","f. -í, pl. -é","24"
"Chháňṭṇu","v.t. re.","","(1) To select; (2) To cut, to lop","","24"
"Chháṇu","v.t. re.","","To roof","f. -í, pl. -é. Also chháwṇu","24"
"Chháp","n.f.","","(1) A ring (of a finger); (2) A seal","","24"
"Chhápar","n.m.","","A roof","f. -í, A small roof; pl. Chhapro","24"
"Chhapáwṇu","v.t. re.","H. chhipáná","To hide","f. -í, pl. -é","24"
"Chhapká","n.m.","","A sudden blow or stroke","","24"
"Chhapṇu","v.i. re.","","(1) To set; (2) To hide","f. -í, pl. -é","24"
"Chhápṇu","v.t. re.","H. chhápná","To print, to impress","","24"
"Chhárṇí","n.f.","","Ashes","See Bhasmá","24"
"Chhaṛ","n.f.","","A basket to keep a chief's robes in","","25"
"Chhaṛáwṇu","v.t. re.","","To take back, to take away by force","f. -í, pl. -é","25"
"Chhaṛí","n.f.","","A gold or silver mounted pole kept by a gate-keeper","","25"
"Chhaṛiyá","n.m.","","A gate-keeper of a chief's palace; a pestle","","25"
"Chhaṛṇu","v.t. re.","","To pound, to beat in a mortar","f. -í, pl. -é","25"
"Chháṛṇu","v.t. re.","","To set free, to release, to leave","f. -í, pl. -é","25"
"Chhaṛowṇu","v.t. re.","","To take by force","f. -í, pl. -é","25"
"Chhatar","n.m.","S. Chhatra","A deity's silver umbrella; an umbrella, a canopy","","25"
"Chháṭí","n.f.","","A stick","","25"
"Chhaṭh","n.f.","S. Shaṣhṭī","The sixth day of the bright or dark half of a month.","Also a ceremony observed on the sixth day after the birth of a son, when Shaṣhṭī Devī is worshipped and a grand feast is given to all.","25"
"Chháṭṭí","n.f.","","A small stick","","25"
"Chhattá","n.m.","S. Chatra","An umbrella","pl. -é","25"
"Chhau","adj.","H. chhah","6","-wáň, m.; -wíň, f.; -weň, pl. 6th","25"
"Chháub","n.f.","","An agricultural implement (used in Bashahr)","","25"
"Chháuṭu","n.m.","","A kind of implement to cut leaves and grass for cattle bedding. It is like a small hatchet.","","25"
"Chháwṇu","v.t. re.","","See Chháṇu","","25"
"Chhḍáwṇu","v.t. re.","","(1) To cause or allow to release or leave; (2) To take off","f. -í, pl. -é","25"
"Chhé","adj.","","See Chhau","","25"
"Chhechár","n.m.","S. ṣhaṭ, six, and upachāra, a gift","A ceremony observed at weddings in Chambá and the Simla Hill States when the bridegroom reaches the bride's house with the wedding procession. At the gate the bride's father gives him (1) water to wash his feet, (2) a tilak of sandal, (3) a garland, (4) a robe, (5) a betelnut and (6) an ornament, i.e., a gold ring.","","25"
"Chhéi","n.f.","","A store of wood or fuel","-láṇí, v.t. re. To store fuel","25"
"Chhejá or -ú","n.m.","","A thin stick","f. -í, pl. -é","25"
"Chhé'k","n.m.","","A tearing","-ṇu, v.t. re. (1) To tear; (2) To put out of caste","25"
"Chhekaṇ","n.m.","","A tear, separating","","25"
"Chhekṇu","v.t. re.","","(1) To tear, to break; (2) To put out of caste, to excommunicate","","25"
"Chekuwáṇu","v.i. re.","","To be torn or separated","","25"
"Chhelá or -u","n.m.","","A kid","f. -í, pl. -é","25"
"Chhehá","n.f.","","A she-kid","","25"
"Chhelṭú","n.m.","","A kid","f. -í, pl. -é","25"
"Chhéo, chhéw","n.m.","","End","-hoṇá, v.i. ir. To be no more","25"
"Chhéorí","n.f.","","(1) A woman; (2) A wife","also chheúrí","25"
"Chhé'r","n.f.","","(1) War, a battle; (2) Sound","-u, v.t. re. To stir up","25"
"Chheṛá","n.m.","","A stirring about; (1) Irritation; (2) An invasion; (3) An invitation","-deṇá, v.t. re. To give a stirring","26"
"Chheṛáwá","n.m.","","Invitation","","26"
"Chheṛáwṇu","v.t. re.","","(1) To cause to stir; (2) To cause to irritate","f. -í, pl. -é","26"
"Chheṛáwṇú","v.t. re.","","To fight","f. -í, pl. -é","26"
"Chheṛṇu","v.t. re.","","To irritate, to annoy, to trouble","","26"
"Chheṭe","adv.","","Once on a time","","26"
"Chheṛ","n.f.","","A married woman's private property (in Kullu)","In Bashahr it is termed Istrī-dhan","26"
"Chhéo","n.m.","","See Chheo","","26"
"Chhéwṇu","v.t. re.","","(1) To pay off; (2) To settle","f. -í, pl. -é","26"
"Chhibá","n.m.","","A sept of Kanets found in the Chhabroṭ parganá and elsewhere","pl. -o","26"
"Chhichhṛá","n.m.","","A bit, piece","f. -í, pl. -é","26"
"Chhiddar","n.m.","S. Chhidra","A hole","","26"
"Chhíj-bij","n.m.","","The balance of an account","","26"
"Chhíjṇu","v.t. re.","","To be destroyed, to be no more, to end","","26"
"Chhīk","n.f.","S. Chhikka","A sneeze","","26"
"Chhiká","n.m.","","A net made of twine, used to hang a vessel in","f. -í, pl. -é","26"
"Chhīkṇu","v.i. re.","","To sneeze","","26"
"Chhilṇu","v.t. re.","","To bark, to peel","f. -í, pl. -é","26"
"Chhīlṇu","v.i. re.","","(1) To make faces; (2) To mock","f. -í, pl. -é","26"
"Chhimbá","n.m.","","A washerman","f. -í, pl. -é","26"
"Chhimchhu","n.f.","","The eve, evening","-é, In the evening","26"
"Chhimáṇṭ","n.m.","","Sunset","-hoṇu, v.s. re. To become evening; -yé, adv. By sunset","26"
"Chhimbá","n.m.","","A goshawk","","26"
"Chhíṇchhi","n.f.","","A kind of wild plant","","26"
"Chhíṇí","n.f.","","A chisel","","26"
"Chhīṇ-ṇu","v.t. re.","","To lop, to cut","f. -í, pl. -é","26"
"Chhīṇw","n.f.","","The shadow of the setting sun","pl. -é","26"
"Chhīr or Chhírá","n.m.","","Wood, fuel","","26"
"Chhīr","n.f.","","A splinter","-gaḍṇí, v.s. re. To be pierced with a wooden splinter","26"
"Chhírkaṇu","v.t. re.","H. chhiṛkná","To sprinkle","","26"
"Chhirkí","n.f.","","Fuel or wood","Also shukrí","26"
"Chhīṭ","n.f.","","A drop or drops of water, etc.","","26"
"Chhitar or chhitr","n.m.","","Old shoes","","26"
"Chhīṭaṇu","v.i. re.","","To get wet","f. -í, pl. -é","26"
"Chhó","n.m. pl.","","A spring of water","-fáṭṇe, v.i. re. To spring from the earth (used of water in the rainy season)","26"
"Chhói","n.f.","","Soap water distilled from ashes to wash clothes","-láṇí, v.i. re. To distil water from ashes","26"
"Chhokrá or -ú","n.m.","H. chhokrá","Son, lad, boy","pl. -é. fem. Chhokrí, A female attendant on a chief","26"
"Chholṇu","v.t. re.","","(1) To churn; (2) To dissolve","f. -í, pl. -é","27"
"Chhó't","n.f.","","Defilement, pollutedness","","27"
"Chhoṭá or -u","adj.","","Small, short","-jáṇá, v.s. re. To fall short","m.; f. -í, pl. -é","27"
"Chhó'ṭá or -u","n.m.","","A son, boy or lad","f. -í, pl. -é","27"
"Chhoṭī","n.f.","","Urine","-karṇí, v.s. re. To make water (also chhoṭī-beṭhṇu)","27"
"Chhoṭlá","adj.","","Defiled, polluted","m. -á, pl. -é. Menstruous.","27"
"Chhubkuwe-náchnu","v.a. re.","","See Chubkuwe-náchṇu","","27"
"Chhukrá","n.m.","","A musical measure","","27"
"Chhulṇu","v.i. re.","","To jump and skip to avoid an arrow","","27"
"Chhúňlí","n.f.","","A term used for 2 bighás of land","","27"
"Chhúňwṇu","v.t. re.","H. chhúná","To touch","f. -í, pl. -é","27"
"Chhúru","adj. m.","","A handful","","27"
"Chhúṭ","n.f.","","(1) Leisure; (2) Remission","-ní-hoṇí, v.i. ir. To have no leisure","27"
"Chhuṭṇu","v.i. re.","","To get rid, to escape, to be left","f. -í, pl. -é","27"
"Chhuṭṭ","adv.","","See Chháṇite","","27"
"Chhwaiň","n.m.","","Leafy bedding for cattle, used to make manure","","27"
"Chhwáṇu","v.t. re.","","(1) To spread; (2) To set a roof","f. -í, pl. -é","27"
"Chhwáňwá","n.m.","","The act of touching","-láṇá, v.a.i. re. To be touched","27"
"Chhwáňwéň","adv.","","At the setting place, the west","","27"
"Chhyúrá","n.m.","H. chárá","Fodder","","27"
"Chhyúrá","n.m.","","A courtyard","","27"
"Chí","n.f.","","A pine tree","Also chīl","27"
"Chīj","n.f.","H. chīz","A thing, an article","pl. -o, Things","27"
"Chijá","adj.","","See Chauṇ","","27"
"Chiji","adj.","","See Chauṇ","","27"
"Chik","n.f.","","Mud or earth","-láṇí, v.i. re. To clean the hands with mud and water after going to stool. (also chīk).","27"
"Chikṇáhaṭ","n.m.","","Slippery; A patch of smooth mud","","27"
"Chikṇá or -u","adj.","","Smooth","m.; f. -í, pl. -é","27"
"Chīl","n.f.","","A kite","","27"
"Chilam","n.f.","","Mouthpiece of a huqqá","","27"
"Chilk","n.f.","","The morning sunshine on the highest peaks","-parṇí, v.i. re. To appear, of sunshine on the peaks; -paṛi-jáṇí, v.i. ir. To have appeared...","27"
"Chilṛá or chilṭá","n.m. pl.","","A kind of bread","pl. -é","27"
"Chimṛáw-ṇu","v.t. re.","","To attach, to paste","f. -í, pl. -é","27"
"Chimṛaṇu","v.t. re.","","To adhere, to cling to","f. -í, pl. -é","27"
"Chimṛí","n.f.","","The yellow wasp","","27"
"Chimṭá","n.m.","H. chimṭá","Tongs","f. -í, A small tongs; pl. -é","27"
"Chimṭṇu","v.v. re.","","To be hurt","","27"
"Chiňg","n.f.","","Cry, screaming","-ṇu, v.i. re. To scream","27"
"Chíṇ or chíṇe","n.f.","","A kind of corn","","27"
"Chīṇ-ṇú","v.t. re.","","To recognise","f. -í, pl. -é","27"
"Chiṇ-ṇu","v.t. re.","","To build, to erect","f. -í, pl. -é","27"
"Chinthá","n.m.","","The back of the head","","28"
"Chintá","n.f.","S. Chitā","The funeral pile, for cremation","-báṇ-ní, v.i. re. To prepare a funeral pile for cremation","28"
"Chiňwáň","n.m.","","A plant that grows near water and is used as medicine for burns","","28"
"Chīňwṇu","v.a. re.","","To get burnt","f. -í, pl. -é","28"
"Chirá","n.m.","","A bit, a part","","28"
"Chiraṇ","n.m.","","A stick (worm)","","28"
"Chirg","n.f.","","An ache, a pain","","28"
"Chíṛ","p.p.","","Cut, torn","f. -í, pl. -é","28"
"Chirkhu-masáṇ","n.m.","","A male spirit which swings, whence its name. It haunts cross-roads and frightens the passers-by (used in Chambá)","","28"
"Chirmakaṇ","n.m.","","Warbling","","28"
"Chirmakṇu","v.i. re.","","To warble","f. -í, pl. -é","28"
"Chirmiruwá or -ú","adj.","","Scattered","m.; f. -í, pl. -é","28"
"Chiṛṇu","v.i. re.","","To be angry or indignant","f. -í, pl. -é","28"
"Chīrṇu","v.t. re.","","To saw, to tear, to cut","f. -í, pl. -é","28"
"Chiṛú","n.m.","","A small kind of bird","f. -í","28"
"Chirwáṇu","v.v. re.","","To be torn","f. -í, pl. -é","28"
"Chirwi-jáṇu","v.a. re.","","To be torn","f. -í, pl. -é","28"
"Chísh","n.f.","","Water","-lágní, v.i. re. To be thirsty","28"
"Chishá or -ú","adj.","","Thirsty","m.; f. -í, pl. -é","28"
"Chishe-rauṇu","v.i. ir.","","To remain thirsty","","28"
"Chit","adj.","","Flat","-hoṇu, v.i. ir. To be flat, to die","28"
"Chīṭ","n.f.","","An ant","pl. -o. Also chiúṇṭí","28"
"Chiṭá or -u","adj.","","White","m.; f. -í, pl. -é","28"
"Chitá","n.f.","S. chitā","A funeral pile","-rauṇu, v.i. re. To remain in memory","28"
"Chiterá","n.m.","S. Chitrakāra","A painter, a picture-maker","","28"
"Chiteráwṇu","v.t. re.","","To cause to remember","f. -í, pl. -é","28"
"Chíṭhí","n.f.","H. chiṭṭhī","A letter","Chínṭhí in Maḍhán, Theog","28"
"Chíthṛá or -u","n.m.","","A rag","pl. -é","28"
"Chíṭo","n.f. pl.","","An ant","sing. Chīṭ. Also chyúṇṭí and mero in Bághal and Kunihár States","28"
"Chitrá","n.m.","","(1) A medicinal herb; (2) Name of a constellation","","28"
"Chitwṇu","v.t. re.","","To remember","f. -í, pl. -é","28"
"Chíú","adj.","","See Chauṇ","","28"
"Chyúṇṭí","n.f.","","See Chīṭ","","28"
"Chyúṛí","n.f.","","Roasted rice for chewing","","28"
"Chyúṭí","n.f.","","A small pine tree","","28"
"Chíwṇu or Chīňwṇu","v.i. re.","","To be burnt","f. -í, pl. -é","28"
"Chíyá","adj.","","See Chauṇ","","28"
"Chlásh","n.f.","H. chauláí","A kind of greens","","28"
"Chochlá","n.m.","","A jest","-u, n.m.; f. -í, pl. -é. A jester","28"
"Chogá","n.m.","H. chogá","A kind of long cloak","","28"
"Chói","n.f.","","A spring of water","","28"
"Chókan","n.m.","","Cooked pulse or vegetables, or meat","","28"
"Chokhú","adj.","","Clean, chaste","m.; f. -í, pl. -é","28"
"Chokṇu","v.a. re.","","To dip, to plunge","f. -í, pl. -é","28"
"Chokwṇu","v.i. re.","","To be dipped or plunged","","29"
"Cholá or -u","n.m.","","A dress, a cloak","pl. -é","29"
"Cholí","n.f.","","A female dress","","29"
"Choltá or -u","n.m.","","A small dress or cloak","f. -í, pl. -é","29"
"Chóltu","n.m.","","A small cloak","","29"
"Chóňr","n.m.","S. Chamara","Chowry, the tail of the Bos grunniens, used to whisk off flies, also as an emblem or insigne of princely rank","","29"
"Chóp","n.f.","","(1) A pole, a tent-pole; (2) The sum of a loan","","29"
"Chopar","n.m.","","Butter","","29"
"Choparṇu","v.t. re.","","To rub with butter or oil","f. -í, pl. -é","29"
"Chopdár","n.m.","H. chopdār","See Chhariyá","","29"
"Chór","n.m. and f.","H. chor","A thief; a robber","f. -í, thieving or robbery","29"
"Chor","n.m.","","A white sorrel","","29"
"Chorá","n.m.","","Leaking","-lágná, v.s. re. To leak","29"
"Chorṇu","v.i. re.","","To steal","f. -í, pl. -é","29"
"Choṛṇu","v.t. re.","","To pluck","f. -í, pl. -é","29"
"Choṛṇu","v.t. re.","H. toṛná","To break, to crush","Tinvéň merí ḍiňglí choṛí pár, 'He has broken my small stick.'","29"
"Chorwṇu","v.s. re.","","To be concealed or stolen","","29"
"Choshá","n.m.","","A burn","pl. -é","29"
"Choshṇu","v.t. re.","","To burn with fire","f. -í, pl. -é","29"
"Choshwṇu","v.i. re.","","To be burnt","f. -í, pl. -é","29"
"Chóṭ","n.f.","H. choṭ","A hurt","-deṇí, v.t. re. To throw away","29"
"Chothrá or -u","n.m.","","A deep basket; a basket used to keep grain, etc.","f. -í, A small basket; pl. -é, Baskets","29"
"Choṭí","n.f.","","(1) A top, a peak; (2) A pigtail","","29"
"Chrái","n.f.","H. chauṛáí","Breadth or width","","29"
"Chraiṭhá","n.m.","","The knee","f. -í, pl. -é","29"
"Chrássí","adj.","","84","","29"
"Chréḷ","n.f.","","A hag, a slut, the ghost of a woman who dies while pregnant","","29"
"Chréoṛí","n.f.","","Twine, to which rhododendron flowers are attached. It is hung on every house at the Baisákhí Sankránt called Bishú.","","29"
"Chrerú","n.m. pl.","","Birds","Chrerú báshde lágé: 'The birds began to warble.'","29"
"Chrīň","n.f.","","A bad smell","","29"
"Chrírá","n.m.","","A kind of insect having long hair on the body, long in size, and with many feet","pl. -é","29"
"Chrīṛṇu","v.t. re.","","To stretch, to spread","f. -í, pl. -é","29"
"Chṭikṇu","v.i. re.","","To crack, to jump","f. -í, pl. -é","29"
"Chubhṇu","v.t. re.","H. chubhná","To pierce","f. -í, pl. -é","29"
"Chubkí","n.f.","","A dip","-márṇí, v.f. re. To take a dip","29"
"Chubkuwé-náchnu","v.a. re.","","To dance to the tune called Chubkú, also idiomatically, to be much pleased","","29"
"Chugá","n.m.","","Food for birds","Also chug","30"
"Chusal or huglí","n.f.","","A small piece of charcoal or stone placed on the aperture of a pipe to prevent the tobacco from going down into the pipe","","30"
"Chugh","n.f.","","A complaint, slander","-páṇí, v.t. re. To backbite","30"
"Chugl-khór","n.m. and f.","H. chugl-khor","A backbiter","","30"
"Chugáwṇu","v.t. re.","","See Charáwṇu","","30"
"Chugṇu","v.t. re.","","See Charṇu","","30"
"Chúhṛá","n.m.","","A sweeper","f. -í, pl. -é","30"
"Chúi-jáṇu","v.s. ir.","","To miss","","30"
"Chúj","n.m.","","A young hawk","","30"
"Chúk","n.f.","","(1) An oath on the ruler; (2) A mistake","","30"
"Chukṇu","v.a. re.","","(1) To take an oath on the ruler; (2) To err, to forget","","30"
"Chúl","n.f.","","The lower part of a door","","30"
"Chúl","n.f.","S. Chulli","A stove","","30"
"Chumak","n.f.","","A silver mouthpiece for a hubblebubble","","30"
"Chúňch","n.f.","S. Chañchu; H. choñch","A beak, a bill","Also chunch","30"
"Chuňchú","n.m.","S. Chūchuka","Nipple of the breast; Breast","","30"
"Chuňḍí","n.f.","","The top (of a tree)","Distich: Chīá chuňḍié ghugtí búshau, báṇo chuňḍié totú; Kalí jugo rá póhrá lágá, dádí láî-gué potá. 'A dove is warbling on the top of a pine, and a parrot on the top of an oak; 'Tis sad of this iron age, that a grandson has taken away a grandmother.'","30"
"Chundú","n.m.","","A pinch","-deṇu, v.a. re. To pinch","30"
"Chungṇu","v.t. re.","","To take up, to lift up; to pick","f. -í, pl. -é","30"
"Chuňgú or chuňgú-bír","n.m.","","A male spirit, under a sorcerer's control, and employed to bring things to him. It also drinks the milk of cows and brings milk, ghī, etc., to its owner.","used in Chambá and the Simlá Hills, respectively","30"
"Chún-pún","n.m.","","Goodness","","30"
"Chup","n.m.","H. chup","Silence","-karṇí, v.i. re. To be silent","30"
"Chupá or -u","adj.","","Silent, quiet, tranquil","m.; f. -í, pl. -é","30"
"Chupe-rauṇu","v.i. ir.","","To keep quiet, to be silent","","30"
"Chúrá","n.m.","","Powder, dust, saw-dust","","30"
"Chúṛí","n.f. pl.","","Bangles made of lac or glass","","30"
"Churk-churk-láṇí or karṇí","v.t. re.","","To chew anything hard","","30"
"Churṇu","v.t. re.","","To crush","f. -í, pl. -é","30"
"Chúṇu","v.i. re.","","To leak","f. -í, pl. -é","30"
"Churwṇu","v.i. re.","","To be crushed","f. -í, pl. -é","30"
"Chushṇu","v.t. re.","","To suck, to absorb","f. -í, pl. -é","30"
"Chúṭ","n.f.","","(1) Breakage; (2) The act of breaking or decreasing; (3) Deficiency","","30"
"Chutiyá","adj.","","Fool, ignorant","m. and f. pl. -é","30"
"Chutṛṇu","v.i. re.","","To be broken","","30"
"Chutṛi-jáṇu","v.i. re.","","To be broken","","30"
"Chutpaṇá","n.m.","","Folly","","31"
"Chwáňní","n.f.","H. chawannī","The coin of four annas","","31"
"Chyaúň","n.m.","","See Cheúň","","31"
"Chyáwaṇ","n.m.","Fr. chí, pine, and ban, forest","A pine-forest","","31"
"Chyeṭṭá","adj. m.","","See Cheṭṭá","","31"
"Dá or -ú","masc. affix","","In, into, within","Examples: Indá dúd ní áňthí. 'There is no milk in it.' Loṭédá chísh ní rauwí. 'There is no water in the jug.' Tiňdé michh bi rau? 'Do men live in them?' Tiňdú kuṇ thu? 'Who was in that (house)?'","31"
"Dá","n.f.","","A jump, a spring, a bound","","31"
"Dá'b","n.m.","","Pressure","-deṇá, v.t. re. To press","31"
"Dabá","n.m.","","A round wooden box","f. -í, A small round box; pl. -é","31"
"Dábá","n.m.","","Plaster (medical)","-deṇá or -láṇá, v.t. re. To apply a plaster","31"
"Dabāw","n.m.","","Pressure","-deṇá, v.t. re. To press","31"
"Dabáwṇu","v.t. re.","","To press down","f. -í, pl. -é","31"
"Dabṇu","v.i. re.","","To be pressed","f. -í, pl. -é","31"
"Dábṇu","v.t. re.","","To press","f. -í, pl. -é","31"
"Dábr","n.f.","","A small pond or tank","f. -í, A very small pond or temple tank","31"
"Dá'ch or Drá't","n.m.","","A large sickle","f. -í, A small sickle. -ṭu or -ṭí, A small sickle to cut grass","31"
"Dadá","n.m.","","Grandfather","pl. -é; f. -í, Grandmother","31"
"Dadháṇá","n.m.","","The melon fruit, tarbúj in Hindī","","31"
"Dadiyá","","","A term of address; O my friend","f. -í","31"
"Daf","n.m.","","A kettledrum","-ru, n.m. A kind of small kettledrum","31"
"Dáflí","n.f.","","A small recess in a wall","Syn. Ṭírá or Ṭírí","31"
"Dá'g","n.f.","","A witch","-lágní, v.s. re. To be influenced by a witch","31"
"Dá'g","n.m.","","(1) Cremation; (2) A spot","-deṇá, v.t. re. To cremate","31"
"Dagá","n.m.","P. dagā","Pretence, a trick","-deṇá, v.t. re. To play a trick","31"
"Dagáňdrá","n.m.","","A kind of disease in which an itching sensation is felt on the body","-láṇá, v.s. re. To suffer from that disease","31"
"Dageṭú","n.m.","","The children of a witch","f. -í, pl. -é","31"
"Daghélú","n.m.","","Heels","","31"
"Dágí","n.m. and f.","","A low-caste people who render menial services","Also kólí and dághí","31"
"Dagle","adj.","","Bitter","Proverb: Hát merie Bághelá; Jaṭhá ban búṭí bi ḍagle. 'What is to be said of Bághal State; Where even the wild plants are bitter.'","31"